epoch,train_loss,val_loss
1,2.6199,2.2945
2,2.1861,1.9512
3,1.9765,1.7815
4,1.8526,1.6633
5,1.7699,1.5887
6,1.7013,1.5273
7,1.6534,1.4791
8,1.6099,1.4455
9,1.5773,1.4171
10,1.5456,1.3947
11,1.5238,1.3692
12,1.4960,1.3554
13,1.4755,1.3387
14,1.4641,1.3209
15,1.4472,1.3119
16,1.4312,1.2994
17,1.4210,1.2897
18,1.4065,1.2829
19,1.3939,1.2788
20,1.3842,1.2746
21,1.3775,1.2622
22,1.3680,1.2599
23,1.3574,1.2516
24,1.3494,1.2456
25,1.3411,1.2393
26,1.3369,1.2377
27,1.3305,1.2311
28,1.3241,1.2295
29,1.3199,1.2254
30,1.3129,1.2140
31,1.3066,1.2154
32,1.3035,1.2125
33,1.2999,1.2132
34,1.2897,1.2020
35,1.2908,1.2068
36,1.2843,1.2057
37,1.2782,1.2024
38,1.2748,1.2036
39,1.2726,1.1924
40,1.2686,1.1955
41,1.2659,1.1948
42,1.2593,1.1890
43,1.2566,1.1876
44,1.2529,1.1910
45,1.2477,1.1841
46,1.2470,1.1769
47,1.2456,1.1844
48,1.2426,1.1823
49,1.2401,1.1762
50,1.2391,1.1767
51,1.2344,1.1713
52,1.2293,1.1729
53,1.2259,1.1685
54,1.2247,1.1769
55,1.2252,1.1735
56,1.2233,1.1684
57,1.2179,1.1678
58,1.2166,1.1693
59,1.2155,1.1641
60,1.2111,1.1678
61,1.2118,1.1615
62,1.2087,1.1594
63,1.2060,1.1526
64,1.2040,1.1589
65,1.2026,1.1565
66,1.2007,1.1548
67,1.1964,1.1583
68,1.1967,1.1525
69,1.1914,1.1649
70,1.1946,1.1539
71,1.1920,1.1529
72,1.1905,1.1534
73,1.1878,1.1498
74,1.1867,1.1500
75,1.1835,1.1492
76,1.1851,1.1530
77,1.1820,1.1499
78,1.1813,1.1506
79,1.1801,1.1491
80,1.1776,1.1530
81,1.1774,1.1455
82,1.1738,1.1473
83,1.1753,1.1438
84,1.1696,1.1488
85,1.1734,1.1491
86,1.1704,1.1420
87,1.1689,1.1492
88,1.1663,1.1533
89,1.1669,1.1466
90,1.1635,1.1421
91,1.1619,1.1410
92,1.1620,1.1448
93,1.1608,1.1423
94,1.1565,1.1449
95,1.1581,1.1378
96,1.1565,1.1414
97,1.1589,1.1392
98,1.1553,1.1420
99,1.1520,1.1375
100,1.1536,1.1353
101,1.1521,1.1416
102,1.1507,1.1367
103,1.1507,1.1394
104,1.1483,1.1400
105,1.1490,1.1384
106,1.1446,1.1362
107,1.1437,1.1409
108,1.1432,1.1444
109,1.1413,1.1354
110,1.1431,1.1346
111,1.1424,1.1406
112,1.1375,1.1342
113,1.1383,1.1315
114,1.1412,1.1331
115,1.1381,1.1369
116,1.1372,1.1343
117,1.1375,1.1332
118,1.1354,1.1296
119,1.1356,1.1358
120,1.1347,1.1312
121,1.1341,1.1333
122,1.1317,1.1323
123,1.1300,1.1351
124,1.1278,1.1307
125,1.1299,1.1321
126,1.1301,1.1299
127,1.1263,1.1371
128,1.1275,1.1323
129,1.1268,1.1315
130,1.1264,1.1270
131,1.1244,1.1332
132,1.1242,1.1312
133,1.1226,1.1321
134,1.1229,1.1404
135,1.1216,1.1329
136,1.1218,1.1304
137,1.1194,1.1289
138,1.1206,1.1292
139,1.1178,1.1295
140,1.1183,1.1237
141,1.1165,1.1266
142,1.1179,1.1373
143,1.1174,1.1342
144,1.1183,1.1216
145,1.1139,1.1267
146,1.1146,1.1337
147,1.1124,1.1320
148,1.1145,1.1312
149,1.1101,1.1347
150,1.1127,1.1277
