epoch,train_loss,val_loss
1,2.6199,2.2945
2,2.1860,1.9512
3,1.9764,1.7820
4,1.8527,1.6645
5,1.7701,1.5897
6,1.7016,1.5299
7,1.6537,1.4818
8,1.6105,1.4497
9,1.5775,1.4195
10,1.5459,1.3959
11,1.5238,1.3702
12,1.4961,1.3561
13,1.4757,1.3397
14,1.4643,1.3227
15,1.4475,1.3125
16,1.4312,1.3008
17,1.4210,1.2927
18,1.4069,1.2846
19,1.3945,1.2799
20,1.3844,1.2753
21,1.3778,1.2648
22,1.3684,1.2635
23,1.3577,1.2564
24,1.3500,1.2462
25,1.3414,1.2415
26,1.3373,1.2361
27,1.3307,1.2358
28,1.3244,1.2306
29,1.3207,1.2255
30,1.3132,1.2171
31,1.3069,1.2183
32,1.3041,1.2154
33,1.3001,1.2149
34,1.2904,1.2029
35,1.2905,1.2098
36,1.2849,1.2051
37,1.2784,1.2010
38,1.2753,1.1989
39,1.2723,1.1941
40,1.2687,1.1922
41,1.2659,1.1908
42,1.2591,1.1901
43,1.2566,1.1853
44,1.2529,1.1896
45,1.2475,1.1830
46,1.2466,1.1769
47,1.2455,1.1812
48,1.2426,1.1833
49,1.2400,1.1783
50,1.2388,1.1773
51,1.2340,1.1705
52,1.2298,1.1754
53,1.2261,1.1707
54,1.2246,1.1766
55,1.2252,1.1703
56,1.2226,1.1644
57,1.2180,1.1659
58,1.2167,1.1705
59,1.2160,1.1569
60,1.2108,1.1654
61,1.2120,1.1621
62,1.2086,1.1582
63,1.2062,1.1575
64,1.2046,1.1580
65,1.2032,1.1585
66,1.2011,1.1575
67,1.1965,1.1549
68,1.1963,1.1600
69,1.1917,1.1654
70,1.1950,1.1540
71,1.1924,1.1564
72,1.1908,1.1491
73,1.1882,1.1498
74,1.1870,1.1495
75,1.1836,1.1531
76,1.1854,1.1539
77,1.1823,1.1514
78,1.1816,1.1493
79,1.1812,1.1519
80,1.1783,1.1487
81,1.1781,1.1460
82,1.1743,1.1451
83,1.1754,1.1381
84,1.1702,1.1427
85,1.1743,1.1465
86,1.1706,1.1407
87,1.1693,1.1444
88,1.1669,1.1471
89,1.1680,1.1409
90,1.1634,1.1372
91,1.1623,1.1370
92,1.1625,1.1433
93,1.1615,1.1423
94,1.1570,1.1392
95,1.1590,1.1347
96,1.1570,1.1346
97,1.1593,1.1340
98,1.1559,1.1372
99,1.1528,1.1397
100,1.1538,1.1298
